Spanish,English
hola,hello; hi
buenos días,good morning
buenas tardes,good afternoon; good evening
buenas noches,good night; good evening
adiós,goodbye; bye
hasta luego,see you later
hasta mañana,see you tomorrow
por favor,please
gracias,thank you; thanks
muchas gracias,thank you very much
de nada,you're welcome
perdón,sorry; excuse me
lo siento,I'm sorry
disculpe,excuse me (polite)
sí,yes
no,no; not
vale,okay; all right
claro,of course; sure
de acuerdo,agreed; okay
mucho gusto,nice to meet you
encantado,pleased to meet you
qué tal,how are you; how's it going
felicidades,congratulations
feliz cumpleaños,happy birthday
señor; el señor,Mr; sir; gentleman
señora; la señora,Mrs; madam; lady
yo,I
tú,you (informal)
usted,you (polite)
él,he
ella,she
nosotros,we
vosotros,you (plural informal)
ustedes,you (plural)
ellos,they (masculine)
ellas,they (feminine)
mi,my
tu,your (informal)
su,his; her; your (polite)
nuestro,our
este,this
ese,that
aquel,that (over there)
el,the (masculine)
la,the (feminine)
un,a; an (masculine)
una,a; an (feminine)
alguien,someone; somebody
nadie,nobody; no one
algo,something
nada,nothing
todo,everything; all
cada,each; every
otro,other; another
qué,what
quién,who
cómo,how
cuándo,when
dónde,where
cuánto,how much; how many
cuál,which
por qué,why
porque,because
y,and
o,or
pero,but
si,if
también,also; too
tampoco,neither; not either
muy,very
más,more
menos,less; fewer
mucho,a lot; much; many
poco,little; few
cero,zero
uno,one
dos,two
tres,three
cuatro,four
cinco,five
seis,six
siete,seven
ocho,eight
nueve,nine
diez,ten
once,eleven
doce,twelve
trece,thirteen
catorce,fourteen
quince,fifteen
dieciséis,sixteen
diecisiete,seventeen
dieciocho,eighteen
diecinueve,nineteen
veinte,twenty
treinta,thirty
cuarenta,forty
cincuenta,fifty
sesenta,sixty
setenta,seventy
ochenta,eighty
noventa,ninety
cien,hundred; one hundred
mil,thousand; one thousand
millón,million
primero,first
segundo,second
último,last; final
día; el día,day
semana; la semana,week
mes; el mes,month
año; el año,year
hora; la hora,hour; time (clock)
minuto; el minuto,minute
momento; el momento,moment
hoy,today
mañana; la mañana,tomorrow; morning
ayer,yesterday
ahora,now
luego,later; then
después,after; afterwards; later
antes,before; earlier
siempre,always
nunca,never
