Chinese (Simpl.),Pinyin,English
挨,ái,to suffer (a beating; hunger); āi to be next to
挨打,áidǎ,to take a beating; to get thrashed; to come under attack
挨着,āizhe,near
安检,ānjiǎn,security check (abbr. for 安全检查); to do a security check
罢工,bàgōng,a strike; to go on strike
罢了,bàle,a modal particle indicating (that's all only nothing much); a modal particle indicating (don't mind it ok)
白领,báilǐng,white-collar; white-collar worker
百分点,bǎifēndiǎn,percentage point
办公,bàngōng,to handle official business; to work (esp. in an office)
办事处,bànshìchù,office; agency
办学,bànxué,to run a school
半决赛,bànjuésài,semifinals
傍晚,bàngwǎn,in the evening; when night falls; towards evening; at night fall
保健,bǎojiàn,health protection; health care; to maintain in good health
报刊,bàokān,newspapers and periodicals; the press
报考,bàokǎo,to enter oneself for an examination
抱歉,bàoqiàn,to be sorry; to feel apologetic; sorry!
暴风雨,bàofēngyǔ,rainstorm; storm; tempest
暴力,bàolì,violence; force; violent
暴露,bàolù,to expose; to reveal; to lay bare
暴雨,bàoyǔ,torrential rain; rainstorm
爆,bào,to explode or burst; to quick fry or quick boil
爆发,bàofā,to break out; to erupt; to explode; to burst out
爆炸,bàozhà,explosion; to explode; to blow up; to detonate
悲惨,bēicǎn,miserable; tragic
背心,bèixīn,sleeveless garment (vest waistcoat singlet tank top etc)
背着,bēizhe,carrying on one's back; turning one's back to (sth or sb); keeping sth secret from (sb); keeping (one's hands) behind one's back
被告,bèigào,defendant
奔跑,bēnpǎo,to run
本地,běndì,local; this locality
本期,běnqī,the current period; this term (usually in finance)
本身,běnshēn,itself; in itself; per se
本土,běntǔ,one's native country; native; local; metropolitan territory
本质,běnzhì,essence; nature; innate character; intrinsic quality
逼,bī,to compel; to pressure; to force (sb to do sth); to compel
笔试,bǐshì,written examination; paper test (for an applicant)
必将,bìjiāng,inevitably
必修,bìxiū,(of an academic course) required; compulsory
闭,bì,to close; to stop up; to shut; to obstruct
边缘,biānyuán,edge; fringe; verge; brink
编制,biānzhì,to establish (a unit or department); staffing structure (excluding temporary and casual staff); to weave; to plait
扁,biǎn,flat; (coll.) to beat (sb) up; small boat
变更,biàngēng,to change; to alter; to modify
变换,biànhuàn,to transform; to convert; to vary; to alternate
变形,biànxíng,to become deformed; to change shape; to morph
便,biàn,plain; informal; suitable; convenient
便是,biànshì,(emphasizes that sth is precisely or exactly as stated); precisely; exactly; even
遍地,biàndì,everywhere; all over
表面上,biǎomiànshang,outwardly; superficially; on the face of it
病房,bìngfáng,ward (of a hospital); sickroom
病情,bìngqíng,state of an illness; patient's condition
拨打,bōdǎ,to call; to dial
波动,bōdòng,to undulate; to fluctuate; wave motion; rise and fall
波浪,bōlàng,wave
播,bō,to sow; to scatter; to spread; to broadcast
补考,bǔkǎo,to sit for a makeup exam; to resit an exam; makeup exam; resit
补课,bǔkè,to make up missed lesson; to reschedule a class
补习,bǔxí,to take extra lessons in a cram school or with a private tutor
补助,bǔzhù,to subsidize; subsidy; allowance
捕,bǔ,to catch; to seize; to capture
不便,bùbiàn,inconvenient; inappropriate; unsuitable; short of cash
不成,bùchéng,won't do; unable to; (at the end of a rhetorical question) can that be?
不见,bùjiàn,not to see; not to meet; to have disappeared; to be missing
不仅仅,bùjǐnjǐn,not only; not just
不禁,bùjīn,can't help (doing sth); can't refrain from
不料,bùliào,unexpectedly; to one's surprise
不通,bùtōng,to be obstructed; to be blocked up; to be impassable; to make no sense
不再,bùzài,no more; no longer
不怎么,bùzěnme,not very; not particularly
不怎么样,bùzěnmeyàng,not up to much; very indifferent; nothing great about it; nothing good to be said about it
不值,bùzhí,not worth
不至于,bùzhìyú,unlikely to go so far as to; not as bad as
布满,bùmǎn,to be covered with; to be filled with
部队,bùduì,army; armed forces; troops; force
采纳,cǎinà,to accept; to adopt
踩,cǎi,to step on; to tread; to stamp; to press a pedal
参赛,cānsài,to compete; to take part in a competition
参展,cānzhǎn,to exhibit at or take part in a trade show etc
餐,cān,meal; to eat; classifier for meals
残疾,cánjí,disabled; handicapped; deformity on a person or animal
残疾人,cánjírén,disabled person
残酷,cánkù,cruel; cruelty
惨,cǎn,miserable; wretched; cruel; inhuman
仓库,cāngkù,depot; storehouse; warehouse
藏,cáng,to hide; to conceal; to store; (zàng) Tibet; treasure
操纵,cāozòng,to operate; to control; to rig; to manipulate
侧,cè,the side; to incline towards; to lean; inclined
厕所,cèsuǒ,toilet; lavatory
测定,cèdìng,to determine (by measuring or surveying)
策略,cèlu:è,strategy; tactics; crafty; adroit
策划,cèhuà,to plot; to scheme; to bring about; to engineer
层面,céngmiàn,aspect; facet; level (political psychological spiritual etc); (geology) bedding plane
查出,cháchū,to find out; to discover
查看,chákàn,to look over; to examine; to check up; to ferret out
差异,chāyì,difference; discrepancy
拆迁,chāiqiān,to demolish a building and relocate the inhabitants
产量,chǎnliàng,output
昌盛,chāngshèng,prosperous
常规,chángguī,code of conduct; conventions; common practice; routine (medical procedure etc)
常年,chángnián,all year round; for years on end; average year
厂商,chǎngshāng,manufacturer; producer
场地,chǎngdì,space; site; place; sports pitch
场馆,chǎngguǎn,sporting venue; arena
场景,chǎngjǐng,scene; scenario; situation; setting
畅通,chàngtōng,unimpeded; free-flowing; straight path; unclogged
超,chāo,to exceed; to overtake; to surpass; to transcend
超出,chāochū,to exceed; to overstep; to go too far; to encroach
炒,chǎo,to sauté; to stir-fry; to speculate; to hype
炒股,chǎogǔ,(coll.) to speculate in stocks
炒作,chǎozuò,to hype; to promote (in the media)
车号,chēhào,vehicle number (license plate number taxi number bus number train car number)
车牌,chēpái,license plate
车展,chēzhǎn,motor show
撤离,chèlí,to withdraw from; to evacuate
撤销,chèxiāo,to repeal; to revoke; (computing) to undo
撑,chēng,to support; to prop up; to push or move with a pole; to maintain
成分,chéngfèn,composition; ingredient; element; component
成品,chéngpǐn,finished goods; a finished product
承诺,chéngnuò,to promise; to undertake to do something; commitment
城区,chéngqū,city district; urban area
城乡,chéngxiāng,city and countryside
城镇,chéngzhèn,town; cities and towns
持有,chíyǒu,to hold (passport views etc)
冲击,chōngjī,to attack; to batter; (of waves) to pound against; shock
崇拜,chóngbài,to worship; adoration
宠物,chǒngwù,house pet
出场,chūchǎng,(of a performer) to come onto the stage to perform; (of an athlete) to enter the arena to compete; (fig.) to enter the scene (e.g. a new product); (of an examinee etc) to leave the venue
出动,chūdòng,to start out on a trip; to dispatch troops
出访,chūfǎng,to go and visit in an official capacity or for investigation
出路,chūlù,a way out (lit. and fig.); opportunity for advancement; a way forward; outlet (for one's products)
出面,chūmiàn,to appear personally; to step in; to step forth; to show up
出名,chūmíng,well-known for sth; to become well known; to make one's mark; to lend one's name (to an event endeavor etc)
出入,chūrù,to go out and come in; entrance and exit; expenditure and income; discrepancy
出事,chūshì,to have an accident; to meet with a mishap
出台,chūtái,to officially launch (a policy program etc); to appear on stage; to appear publicly; (of a bar girl) to leave with a client
出行,chūxíng,to go out somewhere (relatively short trip); to set off on a journey (longer trip)
初等,chūděng,elementary (i.e. easy)
除,chú,to get rid of; to remove; to exclude; to eliminate
厨师,chúshī,cook; chef
储存,chǔcún,stockpile; to store; to stockpile; storage
处处,chùchù,everywhere; in all respects
处长,chùzhǎng,department head; section chief
传出,chuánchū,to transmit outwards; to disseminate; efferent (nerve)
传媒,chuánméi,media
传输,chuánshū,to transmit; transmission
传言,chuányán,rumor; hearsay
船员,chuányuán,sailor; crew member
船长,chuánzhǎng,captain (of a boat); skipper
船只,chuánzhī,ship; boat; vessel
串,chuàn,to string together; to skewer; to connect wrongly; to gang up
窗口,chuāngkǒu,window; opening providing restricted access (e.g. customer service window); computer operating system window; fig. medium
创办,chuàngbàn,to establish; to found; to launch
创建,chuàngjiàn,to found; to establish
创意,chuàngyì,creative; creativity
此处,cǐchù,this place; here (literary)
此次,cǐcì,this time
此前,cǐqián,before this; before then; previously
此事,cǐshì,this matter
此致,cǐzhì,(used at the end of a letter to introduce a polite salutation)
次数,cìshù,number of times; frequency; order number (in a series); power (math.)
从不,cóngbù,never
从没,cóngméi,never (in the past); never did
醋,cù,vinegar; jealousy (in love rivalry)
村庄,cūnzhuāng,village; hamlet
错过,cuòguò,to miss (train opportunity etc)
搭,dā,to put up; to build (scaffolding); to hang (clothes on a pole); to connect
搭档,dādàng,to cooperate; partner
搭配,dāpèi,to pair up; to match; to arrange in pairs; to add sth into a group
打动,dǎdòng,to move (to pity); arousing (sympathy); touching
打断,dǎduàn,to interrupt; to break off; to break (a bone)
打发,dǎfa,to dispatch sb to do sth; to make sb leave; to pass (the time); (old) to make arrangements
打官司,dǎguānsi,to file a lawsuit; to sue; to dispute
打牌,dǎpái,to play mahjong or cards
打印机,dǎyìnjī,printer
打造,dǎzào,to create; to build; to develop; to forge (of metal)
大道,dàdào,main street; avenue
大街,dàjiē,street; main street
大力,dàlì,energetically; vigorously
大米,dàmǐ,(husked) rice
大批,dàpī,large quantities of
大赛,dàsài,grand contest
大师,dàshī,great master; master
大使,dàshǐ,ambassador; envoy
待会儿,dāihuìr,in a moment; later
单打,dāndǎ,singles (in sports)
担忧,dānyōu,to worry; to be concerned
诞生,dànshēng,to be born
当成,dàngchéng,to consider as; to take to be
当天,dāngtiān,on that day; the same day
当作,dàngzuò,to treat as; to regard as
党,dǎng,party; association; club; society
档,dàng,file; archive; records; grade; shelf
档案,dàngàn,file; record; archive
岛,dǎo,island
