Chinese (Simpl.),Pinyin,English
爱,ài,to love; to be fond of; to like; affection
爱好,àihào,to like; to be fond of; to take pleasure in; to be keen on
八,bā,eight; 8
爸,bà,father; dad; pa; papa
爸爸,bàba,(coll.) father; dad
吧,ba,(modal particle for suggestion or surmise)
白,bái,white; snowy; pure; bright
白天,báitiān,daytime; during the day; day
百,bǎi,hundred; numerous; all kinds of
班,bān,team; class; grade; (military) squad
半,bàn,half; semi-; incomplete; (after a number) and a half
半年,bànnián,half a year
半天,bàntiān,half of the day; a long time; quite a while; midair
帮,bāng,to help; to assist; to support; for sb (i.e. as a help)
帮忙,bāngmáng,to help; to lend a hand; to do a favor; to do a good turn
包,bāo,to cover; to wrap; to hold; to include
包子,bāozi,bao (steamed stuffed bun)
杯,bēi,cup; trophy cup; classifier for certain containers of liquids: glass; cup; trophy cup
杯子,bēizi,cup; glass
北,běi,north; (classical) to be defeated
北边,běibiān,north; north side; northern part; to the north of
北京,Běijīng,Beijing; capital of the People's Republic of China
本,běn,(measure word for books); this
本子,běnzi,notebook; book
比,bǐ,to compare; than
别,bié,don't; do not
别的,biéde,else; other
别人,biéren,other people; others; other person
病,bìng,illness; disease; to fall ill; defect
病人,bìngrén,sick person; patient; invalid
不,bù,no; not so; (bound form) not; un-
不大,bùdà,not very; not too; not often
不对,bùduì,incorrect; wrong; amiss; abnormal
不客气,bùkèqi,you're welcome; don't mention it; impolite; rude
不用,bùyòng,need not
菜,cài,dish (type of food); vegetable; cuisine; (coll.) (one's) type
茶,chá,tea; tea plant
差,chà,bad; poor; not up to standard; to lack
常,cháng,always; ever; often; frequently
常常,chángcháng,frequently; often
唱,chàng,to sing; to call loudly; to chant
唱歌,chànggē,to sing a song
车,chē,car; vehicle; machine; to shape with a lathe
车票,chēpiào,ticket (for a bus or train)
车上,chēshàng,on the bus; in the car; on the train
车站,chēzhàn,rail station; bus stop
吃,chī,to eat; to consume; to eat at (a cafeteria etc); to eradicate
吃饭,chīfàn,to have a meal; to eat; to make a living
出,chū,to go out; to come out; to occur; to produce
出来,chūlái,to come out; to appear; to emerge
出去,chūqù,to go out
穿,chuān,to wear; to put on; to dress; to bore through
床,chuáng,bed; couch; classifier for beds
次,cì,(measure word) time; occurrence
从,cóng,from; through; via; to follow
错,cuò,mistake; wrong; bad; interlocking
打,dǎ,to hit; to strike; to play
打车,dǎchē,to take a taxi (in town); to hitch a lift
打电话,dǎdiànhuà,to make a telephone call
打开,dǎkāi,to open; to show (a ticket); to turn on; to switch on
打球,dǎqiú,to play ball; to play with a ball
大,dà,big; large; great; older (than another person)
大学,Dàxué,the Great Learning; one of the Four Books 四书 in Confucianism; university; college
大学生,dàxuéshēng,university student; college student
到,dào,to reach; to arrive; to leave for; to go to
地,de,-ly (adverbial particle)
地点,dìdiǎn,place; site; location; venue
地方,dìfāng,region; regional (away from the central administration); local; area
地上,dìshang,on the ground; on the floor
地图,dìtú,map
的,de,of (possessive particle); ~'s
得到,dédào,to get; to obtain; to receive
等,děng,to wait; and so on; class; grade
弟,dì,younger brother; junior male; I (modest word in letter)
弟弟,dìdi,younger brother
第,dì,ordinal number prefix; -th
第二,dìèr,second; number two; next; secondary
点,diǎn,point; dot; drop; speck
电,diàn,lightning; electricity; electric (bound form); to get (or give) an electric shock
电话,diànhuà,telephone; phone call; phone number
电脑,diànnǎo,computer
电视,diànshì,television; TV
电视机,diànshìjī,television set
电影,diànyǐng,movie; film
电影院,diànyǐngyuàn,cinema; movie theater
东,dōng,east; host (i.e. sitting on east side of guest); landlord
东边,dōngbian,east; east side; eastern part; to the east of
东西,dōngxi,thing; stuff
动,dòng,(of sth) to move; to set in movement; to displace; to touch
动作,dòngzuò,movement; motion; action; to act
都,dōu,all; both; entirely; (used for emphasis) even
读,dú,to read; to study
读书,dúshū,to read a book; to study; to attend school
对,duì,right; correct; towards; at
对不起,duìbuqǐ,I'm sorry; excuse me; I beg your pardon; to let (sb) down
多,duō,many; much; too many; in excess
多少,duōshǎo,number; amount; somewhat; how much?
饿,è,to be hungry; hungry; to starve (sb)
儿子,érzi,son
二,èr,two; 2; (Beijing dialect) stupid
饭,fàn,cooked rice; meal; (loanword) fan; devotee
饭店,fàndiàn,restaurant; hotel
房间,fángjiān,room
房子,fángzi,house; building (single- or two-story); apartment; room
放,fàng,to put; to place; to release; to free
放假,fàngjià,to have a holiday or vacation
放学,fàngxué,to dismiss students at the end of the school day
飞,fēi,to fly
飞机,fēijī,airplane
非常,fēicháng,very; really; unusual; extraordinary
分,fēn,to divide; to separate; to distribute; to allocate
风,fēng,wind; news; style; custom
干,gān,dry; dried food; empty; hollow
干净,gānjìng,clean; neat
干什么,gànshénme,what are you doing?; what's he up to?
高,gāo,high; tall; above average; loud
高兴,gāoxìng,happy; glad; willing (to do sth); in a cheerful mood
告诉,gàosu,to tell; to inform
哥,gē,elder brother
哥哥,gēge,older brother
歌,gē,song; to sing
个,gè,(general measure word); individual
给,gěi,to give; for; to
跟,gēn,with; and; to follow
工人,gōngrén,worker
工作,gōngzuò,to work; (of a machine) to operate; job; work
关,guān,mountain pass; to close; to shut; to turn off
关上,guānshàng,to close (a door); to turn off (light electrical equipment etc)
贵,guì,expensive; noble; precious; (honorific) your
国,guó,country; nation; state; (bound form) national
国家,guójiā,country; nation; state
国外,guówài,abroad; external (affairs); overseas; foreign
过,guò,to cross; to go over; to pass (time); to celebrate (a holiday)
还,hái,still; still in progress; still more; yet
还是,háishi,still (as before); had better; unexpectedly; or
还有,háiyǒu,furthermore; in addition; still; also
孩子,háizi,child
汉语,Hànyǔ,Chinese language
汉字,hànzì,Chinese character; Japanese: kanji; Korean: hanja; Vietnamese: hán tự
好,hǎo,good; appropriate; proper; all right!
好吃,hǎochī,tasty; delicious; to be fond of eating; to be gluttonous
好看,hǎokàn,good-looking; nice-looking; good (of a movie book TV show etc); embarrassed
好听,hǎotīng,pleasant to hear
好玩儿,hǎowánr,amusing; fun; interesting
号,hào,number; day of the month; size
喝,hē,to drink; to shout
和,hé,(joining two nouns) and; together with; with (Taiwan pr. [hàn]); (math.) sum
很,hěn,(adverb of degree); quite; very; awfully
后,hòu,behind; back; after; rear
后边,hòubian,the back; the rear; the last bit; behind
后天,hòutiān,the day after tomorrow; acquired (not innate)
花,huā,flower; blossom; fancy pattern; florid
话,huà,dialect; language; spoken words; speech
坏,huài,bad; spoiled; broken; to break down
回,huí,to circle; to go back; to turn around; to answer
回答,huídá,to reply; to answer; reply; answer
回到,huídào,to return to
回家,huíjiā,to return home
回来,huílai,to return; to come back
回去,huíqu,to return; to go back
会,huì,can; to have the skill; to know how to; to be likely to
火车,huǒchē,train
机场,jīchǎng,airport; airfield
机票,jīpiào,air ticket; passenger ticket
鸡蛋,jīdàn,(chicken) egg; hen's egg
几,jǐ,how many; several; a few
记,jì,to record; to note; to memorize; to remember
记得,jìde,to remember
记住,jìzhu,to remember; to bear in mind; to learn by heart
家,jiā,home; family
家里,jiālǐ,home
家人,jiārén,family member; (old) servant
间,jiān,between; among; within a definite time or space; room
见,jiàn,to see; to meet; to appear (to be sth); to interview
见面,jiànmiàn,to meet; to see each other
叫,jiào,to shout; to call; to order; to ask
教,jiāo,to teach; religion; teaching; to make
教学楼,jiàoxuélóu,teaching block; school building
