Chinese (Simpl.),Pinyin,English
号码,hàomǎ,number
合格,hégé,to meet the standard required; qualified; eligible (voter etc)
合适,héshì,suitable; fitting; appropriate
盒子,hézi,box; case
猴子,hóuzi,monkey
后悔,hòuhuǐ,to regret; to feel remorse
后来,hòulái,afterwards; later; newly arrived
厚,hòu,thick; deep or profound; kind; generous
忽然,hūrán,suddenly; all of a sudden
互相,hùxiāng,each other; mutually; mutual
护士,hùshi,nurse
怀疑,huáiyí,to doubt (sth); to be skeptical of; to have one's doubts; to harbor suspicions
回忆,huíyì,to recall; memories
活动,huódòng,to exercise; to move about; to operate; to use connections (personal influence)
活泼,huópo,lively; vivacious; brisk; active
火,huǒ,fire; urgent; ammunition; fiery or flaming
获得,huòdé,to obtain; to receive; to get
积极,jījí,active; energetic; vigorous; positive (outlook)
积累,jīlěi,to accumulate; accumulation; cumulative; cumulatively
基础,jīchǔ,base; foundation; basis; basic
激动,jīdòng,to move emotionally; to stir up (emotions); to excite
及时,jíshí,timely; at the right time; promptly; without delay
即使,jíshǐ,even if; even though
极其,jíqí,extremely
集合,jíhé,to gather; to assemble; (math.) set
计划,jìhuà,plan; project; program; to plan
记者,jìzhě,reporter; journalist
技术,jìshù,technology; technique; skill
既然,jìrán,since; as; this being the case
继续,jìxù,to continue; to proceed with; to go on with
寄,jì,to send; to mail; to entrust; to depend on
加班,jiābān,to work overtime
加油站,jiāyóuzhàn,gas station
家具,jiājù,furniture
假,jiǎ,fake; false; artificial
价格,jiàgé,price
坚持,jiānchí,to persevere with; to persist in; to insist on
减肥,jiǎnféi,to lose weight
减少,jiǎnshǎo,to lessen; to decrease; to reduce; to lower
将来,jiānglái,in the future; future; the future
奖金,jiǎngjīn,premium; award money; bonus
降低,jiàngdī,to reduce; to lower; to bring down
交,jiāo,to hand over; to deliver; to pay (money); to turn over
交流,jiāoliú,to exchange; exchange; communication; interaction
交通,jiāotōng,to be connected; traffic; transportation; communications
骄傲,jiāoào,pride; arrogance; conceited; proud of sth
饺子,jiǎozi,dumpling; pot-sticker
教授,jiàoshòu,professor; to instruct; to lecture on
教育,jiàoyù,to educate; to teach; education
接受,jiēshòu,to accept; to receive
节约,jiéyuē,to economize; to conserve (resources); economy; frugal
结果,jiéguǒ,result; outcome; conclusion
解释,jiěshì,explanation; to explain; to interpret; to resolve
尽管,jǐnguǎn,despite; although; even though; in spite of
紧张,jǐnzhāng,nervous; keyed up; intense; tense
进行,jìnxíng,to advance; to conduct; underway; in progress
禁止,jìnzhǐ,to prohibit; to forbid; to ban
京剧,Jīngjù,Beijing opera
经济,jīngjì,economy; economic
经历,jīnglì,experience; to experience; to go through
经验,jīngyàn,experience; to experience
精彩,jīngcǎi,wonderful; marvelous; brilliant
精神,jīngshén,spirit; mind; consciousness; thought
警察,jǐngchá,police; police officer
竞争,jìngzhēng,to compete; competition
竟然,jìngrán,unexpectedly; to one's surprise; in spite of everything; in that crazy way
