Chinese (Simpl.),Pinyin,English
唉,āi,interjection or grunt of agreement or recognition (e.g. yes it's me!); to sigh; alas; oh dear
爱护,àihù,to cherish; to treasure; to take care of; to love and protect
爱惜,àixī,to cherish; to treasure; to use sparingly
爱心,àixīn,compassion; kindness; care for others; love
安慰,ānwèi,to comfort; to console
安装,ānzhuāng,to install; to erect; to fix; to mount
岸,àn,bank; shore; beach; coast
把握,bǎwò,to grasp (also fig.); to seize; to hold; assurance
摆,bǎi,to arrange; to exhibit; to move to and fro; a pendulum
班主任,bānzhǔrèn,teacher in charge of a class
办理,bànlǐ,to handle; to transact; to conduct
傍晚,bàngwǎn,in the evening; when night falls; towards evening; at night fall
棒,bàng,stick; club; cudgel; smart
包裹,bāoguǒ,to wrap up; to bind up; bundle; parcel
包含,bāohán,to contain; to embody; to include
包子,bāozi,bao (steamed stuffed bun)
薄,báo,thin; cold in manner; indifferent; weak
宝贝,bǎobèi,treasured object; treasure; darling; baby
宝贵,bǎoguì,valuable; precious; to value; to treasure
保持,bǎochí,to keep; to maintain; to hold; to preserve
保存,bǎocún,to conserve; to preserve; to keep; to save (a file etc) (computing)
保留,bǎoliú,to keep; to retain; to have reservations (about sth); to hold back (from saying sth)
保险,bǎoxiǎn,insurance; to insure; safe; secure
报告,bàogào,to inform; to report; to make known; report
悲观,bēiguān,pessimistic
背,bèi,back (of the body); to recite; to carry on the back (bēi)
背景,bèijǐng,background; backdrop; context; (fig.) powerful backer
被子,bèizi,quilt
本科,běnkē,undergraduate course; undergraduate (attributive)
本领,běnlǐng,skill; ability; capability
本质,běnzhì,essence; nature; innate character; intrinsic quality
比例,bǐlì,proportion; scale
比如,bǐrú,for example; for instance; such as
彼此,bǐcǐ,each other; one another
必然,bìrán,inevitable; certain; necessity
必需,bìxū,to need; to require; essential; indispensable
必要,bìyào,necessary; essential; indispensable; required
毕竟,bìjìng,after all; all in all; when all is said and done; in the final analysis
避免,bìmiǎn,to avert; to prevent; to avoid; to refrain from
编辑,biānjí,to edit; to compile; editor; compiler
鞭炮,biānpào,firecrackers; string of small firecrackers
便,biàn,plain; informal; suitable; convenient
辩论,biànlùn,debate; argument; to argue over
标点,biāodiǎn,punctuation; a punctuation mark; to punctuate
标志,biāozhì,sign; mark; symbol; logo
表面,biǎomiàn,surface; face; outside; appearance
表明,biǎomíng,to make clear; to make known; to state clearly; to indicate
表情,biǎoqíng,(facial) expression; to express one's feelings
表现,biǎoxiàn,to show; to show off; to display; to manifest
丙,bǐng,third of the ten Heavenly Stems 干; third in order; letter 'C' or Roman 'III' in list 'A; B; C'; or 'I; II; III' etc; ancient Chinese compass point: 165°
病毒,bìngdú,virus
玻璃,bōli,glass; (slang) male homosexual
脖子,bózi,neck
博物馆,bówùguǎn,museum
补充,bǔchōng,to replenish; to supplement; to complement; additional
不安,bùān,unpeaceful; unstable; uneasy; disturbed
不必,bùbì,need not; does not have to; not necessarily
不得了,bùdéliǎo,desperately serious; disastrous; extremely; exceedingly
不断,bùduàn,unceasing; uninterrupted; continuous; constant
不好意思,bùhǎoyìsi,to feel embarrassed; to find it embarrassing; to be sorry (for inconveniencing sb)
不见得,bùjiànde,not necessarily; not likely
不免,bùmiǎn,inevitably
不耐烦,bùnàifán,impatient; to lose patience
不然,bùrán,not so; no; or else; otherwise
不如,bùrú,not equal to; not as good as; inferior to; it would be better to
