French,English
embaucher,to hire; to take on
licencier,to lay off; to dismiss
démissionner,to resign; to quit
recruter,to recruit; to hire
postuler,to apply (for a job)
recrutement; le recrutement,recruitment; hiring
salarié; le salarié,employee; wage earner
effectif; l'effectif; un effectif,workforce; headcount
main-d'œuvre; la main-d'œuvre,labour; workforce
préavis; le préavis,notice; notice period
indemnité; l'indemnité; une indemnité,compensation; allowance
prestation; la prestation,benefit payment; service
cotisation; la cotisation,contribution; membership fee
mutuelle; la mutuelle,supplementary health insurance
bénévole; le bénévole,volunteer
précarité; la précarité,job insecurity; precariousness
chômeur; le chômeur,unemployed person
reconversion; la reconversion,career change; retraining
mutation; la mutation,job transfer; change
hiérarchie; la hiérarchie,hierarchy; chain of command
collaborateur; le collaborateur,coworker; contributor
collaborer,to collaborate; to work with
ordre du jour; l'ordre du jour; un ordre du jour,agenda (meeting)
compte rendu; le compte rendu,report; minutes
planning; le planning,schedule; timetable
rendement; le rendement,yield; output
productivité; la productivité,productivity
efficacité; l'efficacité; une efficacité,effectiveness; efficiency
performance; la performance,performance; result
bilan; le bilan,assessment; balance sheet
audit; l'audit; un audit,audit
évaluation; l'évaluation; une évaluation,assessment; appraisal
superviser,to supervise; to oversee
encadrer,to manage (a team); to frame
déléguer,to delegate
gérant; le gérant,manager (of a shop)
dirigeant; le dirigeant,leader; senior executive
administrateur; l'administrateur; un administrateur,director; administrator
conseil d'administration; le conseil d'administration,board of directors
actionnaire; l'actionnaire; un actionnaire,shareholder
associé; l'associé; un associé,business partner
filiale; la filiale,subsidiary
succursale; la succursale,branch (of a company)
multinationale; la multinationale,multinational company
entrepreneur; l'entrepreneur; un entrepreneur,entrepreneur; contractor
entreprendre,to undertake; to set out to
fonder,to found; to set up
commercialiser,to market; to bring to market
lancement; le lancement,launch
innovation; l'innovation; une innovation,innovation
innover,to innovate
brevet; le brevet,patent
licence; la licence,licence; bachelor degree
franchise; la franchise,franchise; frankness
enseigne; l'enseigne; une enseigne,shop sign; retail chain
détaillant; le détaillant,retailer
grossiste; le grossiste,wholesaler
clientèle; la clientèle,customers; clientele
acheteur; l'acheteur; un acheteur,buyer; purchaser
