English,Definition
ability,the skill or power to do something
abroad,in or to a foreign country
accept,to say yes to; to take something offered
acceptable,good enough; allowed
accident,a bad event that happens by chance
account,a bank record of your money
achieve,to succeed in doing something hard
across,from one side to the other
act,something a person does; part of a play
actually,in fact; really
addition,something extra put together with another
additional,extra; more than before
adjective,a word that describes a noun
adjust,to change something a little to fit
admire,to respect and like someone very much
admit,to say that something bad is true
adult,fully grown; for grown people
advanced,at a high or difficult level
advantage,something that helps you do better than others
adventure,an exciting and maybe dangerous experience
advertisement,a notice that tries to sell something
advertising,the business of telling people to buy things
advice,an opinion about what someone should do
advise,to tell someone what they should do
affair,an event or matter; a secret romantic relationship
against,opposed to; touching the side of
aged,of the age of; very old
agency,a business that provides a service
agent,a person who acts for others in business
ahead,in front; into the future
air,the gas around us that we breathe
aisle,a walking space between rows of seats
alarm,a sound or device that warns of danger
alarm clock,a device that rings to wake you
alive,living; not dead
allow,to let someone do something
alright,okay; fine; good enough
although,even though; despite the fact that
ambition,a strong wish to be successful
among,in the middle of a group
amused,finding something funny or entertaining
amusement,fun; the feeling of being entertained
ancestor,a family member who lived long ago
ancient,very old; from times long past
angel,a spirit from heaven with wings
angrily,in a very upset way
ankle,the joint between the foot and leg
anniversary,the yearly date of a past event
annoy,to make someone a little angry
annoying,making you feel a little angry
anxious,worried and nervous
anymore,no longer; not now as before
anyway,in spite of that; whatever happens
anywhere,in or to any place
apart,away from each other; separated
apartment,a set of rooms to live in
apologize,to say you are sorry
apparently,as it seems; people say so
appear,to come into view; to seem
appearance,the way someone or something looks
apply,to ask formally for a job; to put on
appointment,an agreed time to meet someone
appreciate,to be thankful for; to value
appropriate,right or suitable for the situation
architecture,the art of designing buildings
area,a part of a place or space
argue,to speak angrily in disagreement
argument,an angry talk between people who disagree
armchair,a soft chair with side supports
armed,carrying a weapon
artificial,made by people; not natural
asleep,sleeping; not awake
assistant,helping and ranked just below the main person
association,a group of people with a shared purpose
astronaut,a person who travels into space
athlete,a person who is good at sport
atom,the smallest unit of matter
attack,a violent act meant to hurt
attempt,a try to do something
attention,careful watching or listening
attitude,the way you think or feel about something
attractive,nice to look at; pleasing
audience,the people watching a show
audio,of sound or its recording
author,a person who writes books
automatic,working by itself without people
automatically,by itself without human help
average,normal; typical; in the middle
avoid,to stay away from something
award,a prize for doing something well
awful,very bad; terrible
background,the area behind the main thing; past life
badly,in a poor way; very much
badminton,a sport played by hitting a feathered ball over a net
bake,to cook in an oven
balcony,a small platform outside an upper window
balloon,a rubber bag filled with air
banking,the business of keeping and lending money
barbecue,a meal cooked outside over fire
barber,a person who cuts men's hair
bargain,something bought at a low price
base,the bottom part; the main place
basic,simple; most important and first
basically,in the most simple way
basket,an open container for holding or carrying things
batch,a group of things made together
battery,a small object that stores electric power
bay,a part of the sea curving into land
beauty,the quality of being lovely to see
been,past form of 'be'
beer,an alcoholic drink made from grain
beg,to ask for something very strongly
beginner,a person just starting to learn
beginning,the first part; the start
behavior,the way a person acts
being,a living thing; a person
belly,the stomach area of the body
belong,to be owned by; to be a member
belt,a band worn around the waist
bench,a long seat for several people
bend,to make something curved; to lean down
besides,also; in addition to that
beyond,on the far side of; past
bill,a paper showing money you must pay
bit,a small piece or amount
bite,a wound made by biting; a small amount of food taken in the mouth
blackboard,a dark board teachers write on with chalk
blame,to say someone caused something bad
blanket,a warm cover for a bed
blonde,having light yellow hair
blood,the red liquid inside the body
bloom,a flower on a plant
board game,a game played on a flat surface with pieces
boil,to heat water until it bubbles
boiled,cooked in very hot water
bonus,extra money or reward beyond normal pay
bookcase,a piece of furniture with shelves for reading material
bookshelf,a shelf for holding reading material
bookshop,a store that sells things to read
bored,tired because nothing is interesting
boss,the person you work for
bother,to disturb or worry someone
bra,underwear that supports a woman's chest
brainstorm,a group activity for quickly sharing ideas
brake,the part that stops a vehicle
branch,an arm of a tree; a local office
brand,the name a company gives its products
brave,not afraid of danger
breeze,a light gentle wind
bride,a woman on her wedding day
brilliant,very clever; very good
budget,plan for spending money
bug,small insect; computer program error
bulb,glass part of a lamp that gives light
burn,skin hurt by fire or heat
bury,to put a dead body in the ground; to hide under earth
bus station,place where buses start and end trips
bus stop,place where a bus picks up people
bush,small low plant like a little tree
businessman,man who works in trade or a company
businesswoman,woman who works in trade or a company
cab,car you pay to ride in; taxi
cafeteria,self-service eating place (school or work)
calendar,chart showing days and months of a year
camping,sleeping outside in a tent for fun
campus,land and buildings of a university
capital,main city of a country
capital letter,big form of a letter (like A or B)
captain,leader of a team or ship
car park,place where you leave your car
carrot,long orange vegetable
cash,money in coins and paper
cassette,small plastic box with tape for music
castle,large old building with strong walls
cause,to make something happen
cent,small coin worth 1/100 of a dollar
center,middle point of something
centimeter,unit of length; 1/100 of a meter
century,period of one hundred years
cereal,breakfast food made from grain eaten with milk
certain,sure; without doubt
certainly,without doubt; of course
chain,line of metal rings joined together
chairman,person who leads a meeting or company
challenge,difficult task that tests you
champagne,French white wine with bubbles
championship,contest to find the best team or player
chance,possibility that something happens; opportunity
chapter,one part of a book
chart,drawing that shows information; graph
chat,to talk in a friendly informal way
cheap,costing little money
cheek,soft side of your face
cheer,to shout with joy for a team
