Chinese (Simpl.),Pinyin,English
呵,hē,to breathe out; to scold; (呵呵) hehe
哎哟,āiyō,hey; ow; ouch; interjection of pain or surprise
挨,ái,to suffer (a beating; hunger); āi to be next to
癌症,áizhèng,cancer
爱不释手,àibùshìshǒu,to love sth too much to part with it; can't put it down
爱戴,àidài,to love and respect; love and respect
暧昧,àimèi,vague; ambiguous; equivocal; dubious
安居乐业,ānjūlèyè,to live in peace and work happily (idiom)
安宁,ānníng,peaceful; tranquil
安详,ānxiáng,serene
安置,ānzhì,to find a place for; to help settle down; to arrange for; to get into bed
按摩,ànmó,massage; to massage
案件,ànjiàn,case; instance
案例,ànlì,case (of fraud hepatitis international cooperation etc); instance; example
暗示,ànshì,to hint; to suggest; hint; suggestion
昂贵,ángguì,expensive; costly
凹凸,āotū,concave or convex; bumps and holes; uneven (surface); rugged
熬,áo,to simmer; to stew; to decoct; to endure (熬夜 = stay up late)
奥秘,àomì,secret; mystery
扒,bā,to peel; to skin; to tear; to pull down
疤,bā,scar; scab
拔苗助长,bámiáozhùzhǎng,to spoil things through excessive enthusiasm (idiom)
把关,bǎguān,to guard a pass; to check on sth
把手,bǎshou,handle; grip; knob
把戏,bǎxì,acrobatics; jugglery; trick; ploy
霸道,bàdào,overbearing; domineering; (coll.) awesome
巴不得,bābude,(coll.) to be eager for; to long for; to look forward to
巴结,bājie,to fawn on; to curry favor with; to make up to
罢工,bàgōng,a strike; to go on strike
掰,bāi,to break off or break open sth with one's hands; (fig.) to break off (a relationship)
百分点,bǎifēndiǎn,percentage point
摆脱,bǎituō,to break away from; to cast off (old ideas etc); to get rid of; to break away (from)
败坏,bàihuài,to ruin; to corrupt; to undermine
拜访,bàifǎng,to pay a visit; to call on
拜年,bàinián,to pay a New Year call; to wish sb a Happy New Year
拜托,bàituō,to request sb to do sth; please!
颁布,bānbù,to issue; to proclaim; to enact (laws decrees etc)
颁发,bānfā,to issue; to promulgate; to award
斑纹,bānwén,stripe; streak
版本,bǎnběn,version; edition; release
半途而废,bàntúérfèi,to give up halfway (idiom); leave sth unfinished
伴侣,bànlǚ,companion; mate; partner
伴随,bànsuí,to accompany; to follow; to occur together with; concomitant
扮演,bànyǎn,to play the role of; to act
绑架,bǎngjià,to kidnap; to abduct; to hijack; a kidnapping
榜样,bǎngyàng,example; model
磅,bàng,pound (unit of weight); to weigh; scale
包庇,bāobì,to shield; to harbor; to cover up
包袱,bāofu,wrapping cloth; a bundle wrapped in cloth; load; weight
包围,bāowéi,to surround; to encircle; to hem in
包装,bāozhuāng,to pack; to package; to wrap; packaging
薄弱,bóruò,weak; frail
饱和,bǎohé,saturated; filled to capacity
饱经沧桑,bǎojīngcāngsāng,having lived through many changes
保管,bǎoguǎn,to hold in safekeeping; to have in one's care; to guarantee; certainly
保密,bǎomì,to keep sth confidential; to maintain secrecy
保姆,bǎomǔ,nanny; housekeeper
保守,bǎoshǒu,conservative; to guard; to keep
保卫,bǎowèi,to defend; to safeguard
保养,bǎoyǎng,to maintain; to keep in good repair; to take care of one's health
保障,bǎozhàng,to ensure; to guarantee; to safeguard
保重,bǎozhòng,to take care of oneself
报仇,bàochóu,to take revenge; to avenge
报酬,bàochou,reward; remuneration
报答,bàodá,to repay; to requite
报到,bàodào,to report for duty; to check in; to register
报复,bàofù,to make reprisals; to retaliate; revenge; retaliation
报社,bàoshè,newspaper (i.e. a company)
报销,bàoxiāo,to submit an expense account; to apply for reimbursement; to write off; to wipe out
抱负,bàofù,aspiration; ambition
抱怨,bàoyuàn,to complain; to grumble; to harbor a complaint; to feel dissatisfied
暴力,bàolì,violence; force; violent
暴露,bàolù,to expose; to reveal; to lay bare
爆发,bàofā,to break out; to erupt; to explode; to burst out
爆炸,bàozhà,explosion; to explode; to blow up; to detonate
卑鄙,bēibǐ,base; mean; contemptible; despicable
悲哀,bēiāi,grieved; sorrowful
悲惨,bēicǎn,miserable; tragic
北极,běijí,the North Pole; the Arctic Pole; the north magnetic pole
贝壳,bèiké,shell; conch; cowry; mother of pearl
备份,bèifèn,backup
备忘录,bèiwànglù,memorandum; aide-memoire; memorandum book
背叛,bèipàn,to betray
背诵,bèisòng,to recite; to repeat from memory
被动,bèidòng,passive
被告,bèigào,defendant
奔波,bēnbō,to rush about; to be constantly on the move
奔驰,bēnchí,to run quickly; to speed
本能,běnnéng,instinct
本钱,běnqián,capital; (fig.) asset; advantage; the means (to do sth)
本人,běnrén,I; me; myself; oneself
本身,běnshēn,itself; in itself; per se
本事,běnshi,ability; skill
本着,běnzhe,based on...; in conformance with..; taking as one's main principle
笨拙,bènzhuō,clumsy; awkward; stupid
崩溃,bēngkuì,to collapse; to crumble; to fall apart
甭,béng,(contraction of 用) need not; please don't; (dialect) very
迸发,bèngfā,to burst forth
蹦,bèng,to jump; to bounce; to hop
逼迫,bīpò,to force; to compel; to coerce
鼻涕,bítì,nasal mucus; snivel; snot
比方,bǐfang,analogy; instance; for instance
比喻,bǐyù,to compare; to liken to; metaphor; analogy
比重,bǐzhòng,proportion; specific gravity
必定,bìdìng,to be bound to; to be sure to
闭塞,bìsè,to stop up; to close up; hard to get to; out of the way
弊病,bìbìng,malady; evil; malpractice; drawback
弊端,bìduān,systemic problem (sometimes refers specifically to corrupt practices)
碧玉,bìyù,jasper
臂,bì,arm
边疆,biānjiāng,border area; borderland; frontier; frontier region
边界,biānjiè,boundary; border
边境,biānjìng,frontier; border
边缘,biānyuán,edge; fringe; verge; brink
编织,biānzhī,to weave; to knit; to plait; to braid
鞭策,biāncè,to spur on; to urge on; to encourage sb (e.g. to make progress)
贬低,biǎndī,to belittle; to disparage; to play down; to demean
贬义,biǎnyì,derogatory sense; negative connotation
扁,biǎn,flat; (coll.) to beat (sb) up; small boat
变故,biàngù,an unforeseen event; accident; misfortune
变迁,biànqiān,changes; vicissitudes
变质,biànzhì,to degenerate; to deteriorate; (of food) to go bad; to go off
便利,biànlì,convenient; easy; to facilitate
便条,biàntiáo,(informal) note
便于,biànyú,easy to; convenient for
遍布,biànbù,to cover the whole (area); to be found throughout
辨认,biànrèn,to recognize; to identify
辩护,biànhù,to speak in defense of; to argue in favor of; to defend; to plead
