English,Definition
abandoned,left alone and not cared for; empty and unused
abnormally,in a strange or unusual way
abolish,to officially end a law or system
aboriginal,belonging to the first people of a land
abruptly,suddenly and without warning
absentee,a person who should be present but is not
absurd,silly and clearly not sensible
abuse,cruel or unfair treatment of someone
accessibility,how easy something is to reach or use
accommodation,a place where someone can live or stay
accordingly,in a way that matches the situation
accumulate,to gradually gather more and more over time
accusation,a claim that someone has done something wrong
achievable,able to be reached or completed
acid,a strong chemical substance that can burn things
acquisition,something gained or obtained
actively,in an energetic and involved way
actual,real; true and existing in fact
acute,very sharp or severe
adaptable,able to change easily to fit new situations
addict,a person unable to stop using something harmful
addicted,unable to stop doing or taking something harmful
addiction,a strong harmful need to keep doing something
additionally,also; as an extra point
adequate,enough for what is needed
adequately,well enough for what is needed
adjustment,a small change made to improve something
administrative,relating to managing an office or business
admirable,deserving praise and respect
admiringly,in a way that shows great respect
admittedly,it must be said honestly
adopted,taken legally into a family as one's own
adoption,the act of taking a child into a family
adore,to love someone or something deeply
adorn,to decorate something to make it prettier
advancement,progress or a move to a higher level
advent,the arrival of something new or important
adventurous,eager to try new and exciting things
adverse,harmful or unfavorable
adversely,in a harmful or negative way
adversity,a difficult or unlucky situation
affectionate,showing warm love and care
affectionately,in a warm and loving way
affordable,cheap enough for most people to buy
ageless,never seeming to grow old
aggressively,in a forceful and angry way
agonize,to worry a great deal before deciding
agony,very great pain or suffering
aircraft,a machine such as a plane that flies
aircrew,the team of people who fly and run a plane
alcoholism,a serious illness from drinking too much alcohol
alert,to warn someone about danger
allegation,a claim that someone did something wrong
alliance,an agreement between groups to work together
ally,a country or person who supports another
alongside,next to; together with
alphabetical,arranged in the order of letters like a b c
altar,a raised table used in religious ceremonies
alter,to change something a little
alternate,to happen or do by turns
alternatively,as another choice; instead
altitude,the height of something above the ground
aluminum,a light silver-colored metal
amaze,to surprise someone very much
amazement,a feeling of great surprise
amazingly,in a way that causes great surprise
ambassador,an official who represents their country abroad
ambiguity,the state of having more than one possible meaning
ambiguous,having more than one possible meaning
ammonia,a strong-smelling gas used in cleaning products
amongst,in the middle of a group
ample,more than enough
amplifier,a device that makes sound louder
amplify,to make a sound or feeling stronger
amuse,to make someone laugh or feel entertained
analogy,a comparison between two similar things
analyst,a person who studies information closely
anchor,a heavy object that keeps a ship in place
anchorage,a safe place where ships can stop
anchorman,a man who presents the news on television
anchorperson,a person who presents the news on television
anguish,severe mental or physical pain
animate,to make drawings appear to move
anonymous,with a name that is kept secret or unknown
antiaircraft,designed to attack enemy planes
antibacterial,able to kill tiny harmful germs
anticancer,a drug that fights a serious tumor disease
anticipate,to expect something before it happens
anticipation,the feeling of expecting something to happen
antipollution,action taken to reduce harm to nature
antistatic,designed to prevent small electric shocks from cloth
antivirus,computer software that protects against harmful programs
apostrophe,the punctuation mark used to show ownership or missing letters
applicant,a person who formally asks for a job or place
appreciative,feeling or showing thanks
appropriately,in a suitable and correct way
approximate,close to an exact number but not precise
arch,a curved structure over a doorway or bridge
archaeologist,a scientist who studies remains from ancient times
arctic,relating to the very cold northern region of Earth
arena,a large area used for sports events
aristocracy,the highest social class in a country
armful,as much as can be carried in one's arms
arouse,to cause a feeling to start
arrogant,too proud and looking down on others
artery,a tube that carries blood away from the heart
articulate,to express thoughts clearly in words
artificially,in a way that is not natural
artistry,great skill in creating something beautiful
ash,the gray powder left after something burns
aspiration,a strong wish to achieve something
aspire,to have a strong wish to achieve something
assault,a sudden violent physical attack
assemble,to put parts together; to gather in one place
assembly,a group of people gathered together; putting parts together
assert,to state something firmly and confidently
assess,to judge the quality or value of something
assessment,a judgment made about the quality of something
assumption,something believed to be true without proof
assurance,a firm promise that something is true
assure,to tell someone confidently that something is true
astonish,to surprise someone greatly
astonished,feeling great surprise
astonishing,causing great surprise
astonishment,a feeling of great surprise
astronomy,the scientific study of stars and planets
athletics,sports such as running and jumping
attached,joined to something; fond of someone
attainable,possible to reach or achieve
attainment,something reached or achieved through effort
attendance,the number of people present at an event
attentive,quick to notice and care about what others need
attentively,in a way that shows careful notice and care
attractiveness,the quality of being pleasing to look at
attribute,a quality that belongs to someone or something
atypical,not usual or expected
aubergine,a long purple vegetable (eggplant)
audit,an official check of financial records
audition,a short performance to test for a role
authoritative,showing confidence and expert knowledge
authorize,to give official permission for something
availability,the state of being free or ready to use
await,to wait for something
awe,a feeling of wonder and deep respect
ax,a tool with a blade for cutting wood
axis,an imaginary line that something turns around
backup,an extra copy kept in case of loss; extra support
backward,toward the back; in reverse
backyard,the outdoor area behind a house
badge,a small sign worn to show identity or rank
bad-tempered,quick to become angry
balanced,having equal parts
balky,stubborn and unwilling to move
ballad,a slow story song
ballet,a graceful stage dance
ballot,a voting paper
ban,a rule that forbids something
banker,a bank employee
bankrupt,to cause financial ruin
bankruptcy,the state of financial ruin
barbershop,a men's hair salon
barley,a common cereal grain
barn,a farm storage building
barometer,a device measuring air pressure
barren,unable to grow plants or crops
barrier,something that blocks movement
bartender,a drink server at a bar
bathhouse,a public bathing building
battlefield,a place where armies fight
beagle,a small hunting dog
beak,a bird's pointed mouth
beam,a long support bar; a light ray
bearing,the way someone moves; a compass direction
beautify,to make more attractive
bellow,to shout loudly and deeply
belongings,personal items someone owns
beneficial,helpful and good for someone
benevolence,kindness toward other people
benevolent,kind and generous to others
berry,a small juicy fruit
bestow,to formally give a gift
bestseller,a very popular book
betray,to be disloyal to someone
bewilder,to confuse someone completely
bewilderment,a feeling of confusion
bid,to offer a price
bidding,the act of offering prices
bikini,a two-piece swimsuit
billion,one thousand million
bind,to tie tightly together
bio,a short life summary
biological,relating to living things
biotechnology,science using living cells
birdcage,a small cage for birds
birthplace,the place someone was born
bitterly,in a harsh resentful way; extremely (cold)
bizarre,very strange and unusual
blade,a knife's sharp cutting edge
blast,a sudden explosion; a rush of air
blaze,a large strong fire
blindly,without looking or thinking
blindness,the inability to see
blink,to shut and open the eyes quickly
bloodstream,blood flowing through the body
bloody,stained with blood
blooming,fully open in flower
blossom,a flower on a tree
blur,to become unclear
blurt,a sudden careless remark
boiling,extremely hot and bubbling
bolt,a metal fastening pin; a sudden dash
bombard,an early type of heavy cannon
bomber,a plane that drops explosives
bombing,an attack using explosives
bony,very thin with visible bones
bookish,fond of reading and study
booklet,a small printed guide
bookmark,a place-saving marker; a saved web link
boost,a helpful increase
booth,a small enclosed stall
bossy,fond of ordering others
botany,the study of plants
bothered,annoyed or worried
bothersome,annoying and causing trouble
bourbon,an American whiskey type
boxer,a fist-fighting athlete
bracket,an enclosing punctuation mark; a wall support
brag,a boastful statement
bravery,courage in danger
breakable,easily damaged or shattered
breakdown,a sudden system failure; a mental collapse
breakup,the end of a relationship
breathtaking,extremely beautiful or impressive
breezy,pleasantly windy outside
brewery,a beer-making factory
brilliantly,extremely skillfully or impressively
broadband,fast internet connection
broadcaster,a TV or radio company
broaden,to make wider or bigger
broadly,in a general way
brochure,a small information booklet
brother-in-law,a spouse's brother; a sibling's husband
browse,to look through casually
browser,a website viewing program
bruise,a skin mark from injury
bud,an unopened flower or leaf
bulimia,a serious eating disorder (overeating then purging)
bully,to hurt someone weaker
bum,a homeless person (informal); the buttocks (informal)
bumper,a car's protective bar
bun,a small bread roll; hair tied up
burdensome,hard to deal with
bureaucracy,complex official rules and offices
burglary,illegal entry to steal
burgle,to break in and steal
burial,the placing of a body underground
bustle,to move about busily
bustling,full of busy activity
buzz,a low humming sound; excited chatter
cabinet,a storage furniture piece; top government officials
cable,a thick electrical wire
calmly,in a quiet relaxed way
campaign,a planned effort toward a goal
candidate,a job or election applicant
cane,a walking support stick
cannonball,an old cannon's metal ball
canon,accepted important works; a church rule
capability,the ability to do something
caption,text explaining a picture
captive,an imprisoned person
caravan,a towed living vehicle; a traveling group
carbon,an element in all life
carbon dioxide,a burning or breathing-out gas
carbon footprint,the amount of harmful gas someone's actions produce
carbon monoxide,a poisonous odorless gas
cardboard,stiff paper for boxes
cardigan,a button-up knitted sweater
carefree,without worries or responsibilities
caring,kind and concerned for others
carnival,a festive public celebration
carpool,a shared car-ride arrangement
carve,to cut a shape into something solid
cascade,a small waterfall; a falling series
cast,a play's group of actors; a hard injury cover
casually,in a relaxed informal way
catalog,a list of items for sale
catalyst,something that speeds up change
catastrophe,a sudden terrible disaster
catastrophic,extremely harmful or disastrous
catchy,easy to remember and enjoy
categorization,sorting things into groups
catering,providing food for events
cathedral,a large important church
cease,to stop happening
ceiling,a room's inside top
cellar,an underground storage room
cellist,a cello player
cello,a large bowed string instrument
cemetery,a burial ground for the dead
centigrade,a temperature measuring scale
certificate,an official document that proves something
certification,proof that someone is officially qualified
certify,to officially state that something is true
chancellor,the leader of a government in some countries
chaotic,completely disorganized and confusing
charming,very pleasant and attractive
cheat,to break rules to win unfairly
checkpoint,a place where guards examine travelers or vehicles
cheeky,rude in a playful way
cheerfully,in a happy positive way
cheerfulness,the state of being happy and positive
chemotherapy,medical treatment using drugs to fight cancer
cherished,loved and valued very much
cherry,a small round red fruit
chew,to crush food with your teeth
childish,behaving in an immature and silly way
chimney,a pipe that lets smoke leave a building
chip,a small piece broken off something; a tiny electronic circuit
chop,to cut something into pieces
chunk,a thick solid piece of something
circuit,a path that electricity flows through
circuitry,a system of electronic parts connected together
circumstance,a fact or condition affecting a situation
citywide,happening across an entire urban area
clam,a small sea animal with a shell
clap,to hit your hands together to show approval
clarify,to make something easier to understand
classification,the act of grouping things by type
clause,part of a sentence with a verb; a section of a legal document
clearness,the quality of being easy to understand
clerical,relating to office work like filing and typing
client,a person who pays for a service
climate change,the long-term shift in the world's weather patterns
clog,to block a pipe or passage
closure,the act of shutting something permanently
clothing,items worn to cover the body
clumsy,awkward and likely to drop things
coaching,expert training to improve a skill
coalition,a temporary alliance between groups
coarse,rough in texture; not smooth
coastline,the edge of land along the sea
cocktail,a mixed alcoholic drink
cocoa,a brown powder made from cacao beans; a hot chocolate drink
coconut,a large brown tropical fruit with white flesh
coherence,the quality of being logical and clear
coherent,logical and easy to follow
coincide,to happen at the same time
coincidence,two things happening together by chance
colleague,a person you work with
collector,a person who gathers items as a hobby
collocation,words that are often used together
colon,a punctuation mark before a list; part of the large intestine
colonial,relating to control over a foreign territory
coma,a long deep state of unconsciousness
comfortably,in a relaxed and pleasant way
commander,an officer who leads troops
commemorate,to honor the memory of an event
commerce,the buying and selling of goods
commission,money earned for making a sale; an official group given a task
commonwealth,a group of countries linked by history
communicative,willing to share thoughts easily
community,a group of people living in one area
commute,to travel regularly between home and work
compassion,care and concern for people who suffer
compassionate,kind and caring toward people who suffer
compatible,able to work well together; well suited
compensate,to pay someone for a loss
compensation,money paid for a loss or harm
competence,the ability to do something well
competent,having enough skill or ability
compile,to gather information into one document
completion,the state of having finished something
complexion,the natural look of a person's skin
complexity,the state of being difficult and complicated
component,one part of a larger system
comprehension,the ability to understand something
comprehensive,including everything that is needed
compress,a cloth held against a wound
compression,the act of squeezing something smaller
compulsory,required by law or rule
compute,to calculate a number or amount
conceal,to hide something from view
concede,to admit that something is true; to give up in defeat
conceit,too much pride in oneself
conceivable,possible to imagine or believe
conceive,to form an idea; to become pregnant
conception,the forming of an idea; the start of pregnancy
concerning,about a particular topic
concession,something given up to reach agreement
concrete,specific and real; not vague
condemn,to strongly criticize something as wrong
conductor,a leader of a music group; a train ticket collector
cone,a shape with a pointed top
conference,a large formal meeting on a topic
conferencing,holding meetings using video or phone
confess,to admit that you did something wrong
confession,a statement admitting guilt
confidently,in a way that shows self-belief
confine,to keep within strict limits
confront,to face a problem directly
conjunction,a word that joins sentence parts
conquest,the act of taking control by force
conscience,the inner sense of right and wrong
consciousness,the state of being awake and aware
consensus,general agreement among a group
consent,permission for something to happen
considerably,by a large amount
considering,taking a fact into account
consistent,always acting the same way
consolation,comfort given after a loss
console,to comfort someone who is sad
constant,happening all the time
consult,to ask an expert for advice
consultant,a person hired to give expert advice
contaminate,to make something dirty or impure
contemporary,belonging to the present time
contempt,a feeling that someone deserves no respect
contract,a written legal agreement
contradict,to say the opposite of someone
contradiction,a statement that disagrees with another
contradictory,opposite and not matching
controversy,public disagreement about a topic
conveniently,in a way that is easy
convention,a usual way of doing something; a large formal meeting
conventional,following what is usual
converse,the reverse of a stated idea
conversely,in an opposite way; on the other hand
conversion,the act of changing form
convert,to change into a different form
convinced,completely sure that something is true
cooperate,to work together with others
cooperation,the act of working together
cooperative,willing to work with others
cope,to deal successfully with hardship
copper,a reddish-brown metal
coral,a hard substance made by sea creatures
core,the central most important part
cornerstone,a basic part everything else depends on
cornet,a small brass instrument; a cone-shaped ice cream holder
corona,a ring of light around the sun
corporal,relating to the physical body
corporate,relating to a large business
corporation,a large business company
correctness,the quality of being accurate
correspond,to match something closely; to exchange letters
correspondence,letters exchanged between people
correspondent,a journalist reporting from afar
corresponding,matching or related to something
corridor,a long narrow indoor passage
corrupt,dishonest and willing to abuse power
corruption,dishonest use of power for personal gain
costly,requiring a lot of money
costume,special clothes worn for a show or party
cottage,a small house in the country
countryman,someone born in the same nation as you
countrywide,happening across a whole nation
courtesy,polite and respectful behavior
coward,a person who lacks courage
cowardly,lacking courage; afraid to act
coziness,a warm comfortable feeling
cozy,warm and comfortable
crab,a sea animal with a hard shell and claws
crack,a thin line where something is broken
craftsman,a skilled worker who makes things by hand
crater,a large bowl-shaped hole in the ground
crawl,to move slowly on hands and knees
crease,a line left by folding something
creation,the act of making something new
creatively,in an imaginative and original way
creek,a small narrow stream
creepy,strange and slightly frightening
crew,a group of people working on a ship or plane
cripple,an old-fashioned word for someone who cannot walk well
critically,in a very serious way; in a fault-finding way
criticism,comments that point out faults
crocodile,a large reptile living in rivers
crossly,in an angry or annoyed way
crucial,very important and necessary
cruelly,in a way that causes pain or suffering
cruelty,behavior that causes pain or suffering
crystallize,to become clear and settled; to turn into solid grains
cube,a solid shape with six equal square sides
cubism,an art style using geometric shapes
cuff,the end part of a shirt sleeve
culmination,the final and most important result
culturally,in terms of a society's customs
curl,a piece of hair that curves round
cursor,a moving pointer on a computer screen
cyberaddict,a person who cannot stop using the internet
cybercafe,a public place where people pay to use the internet
cybercrime,illegal activity carried out using computers or the internet
cyberpet,a digital creature you care for on a screen
cyberschool,lessons and classes taught entirely through the internet
cyberspace,the online world where computer networks connect
cyclist,a person who rides a bike
daft,silly or foolish (informal)
damn,used to add emphasis or show annoyance (informal)
dandelion,a small yellow wild flower
darling,much loved; dear
dash,a sudden quick run; a small amount of something
data,facts or information used for study
database,an organized set of information stored on a computer
dated,old-fashioned; no longer modern
daughter-in-law,the wife of your son
dawn,the time of day when light first appears
daytime,the hours when it is light outside
de facto,existing in reality though not official
dearly,very much; with great affection
debit,an amount of money taken from an account
debit card,a payment method linked directly to your bank account
decade,a period of ten years
decay,to slowly rot or break down
deceive,to make someone believe something untrue
decent,good enough in quality; honest and morally proper
deceptive,likely to give a false impression
decisive,able to choose quickly and firmly
deck,a floor on a ship or bus
decomposition,the process of slowly rotting
decorate,to make something look nicer by adding things
decoration,something added to make a place look nicer
decorative,meant to look attractive rather than useful
dedication,great effort and commitment given to something
deduce,to work out an answer using clues
deduction,a conclusion reached by reasoning; an amount subtracted from a total
deem,to consider something to be a certain way
deer,a wild animal with antlers that runs fast
deficit,the amount by which spending is more than income
deforestation,the cutting down of large areas of trees
defy,to refuse to obey a rule or person
dehumanize,to treat someone as less than a person
delegate,a person chosen to speak for a group
deliberate,done on purpose; planned
deliberately,on purpose; not by accident
delicacy,a rare and tasty food; the quality of being easily damaged
delicately,in a careful and gentle way
demanding,needing a lot of effort; expecting a lot from others
demolish,to pull down a building completely
denim,a strong blue cotton cloth used for jeans
dense,closely packed together; slow to understand (informal)
densely,in a closely packed way
dental,relating to teeth or their care
dependable,able to be trusted; reliable
