French,English
bonjour,hello; good morning
bonsoir,good evening
bonne nuit,good night
salut,hi; bye (informal)
au revoir,goodbye
à bientôt,see you soon
à demain,see you tomorrow
merci,thank you; thanks
de rien,you're welcome
s'il vous plaît,please (polite)
s'il te plaît,please (informal)
pardon,sorry; excuse me
excusez-moi,excuse me (polite)
désolé,sorry
oui,yes
non,no
d'accord,okay; agreed
bienvenue,welcome
bonne chance,good luck
bon appétit,enjoy your meal
attention,watch out; careful
allô,hello (on the phone)
monsieur,sir; Mr
madame,madam; Mrs
ça va,how are you; I'm fine
enchanté,nice to meet you
bonne journée,have a good day
félicitations,congratulations
je,I
tu,you (informal)
il,he; it
elle,she; it
on,we; one
nous,we; us
vous,you (polite or plural)
ils,they (masculine)
elles,they (feminine)
moi,me
toi,you (stressed)
ça,that; it
quelqu'un,someone; somebody
quelque chose,something
rien,nothing
tout le monde,everyone; everybody
qui,who
que,what; that
quoi,what
où,where
quand,when
comment,how
pourquoi,why
combien,how much; how many
quel,which; what
à,to; at
de,of; from
dans,in; inside
sur,on
sous,under
avec,with
sans,without
pour,for
par,by; through
chez,at the home of
entre,between
devant,in front of
derrière,behind
avant,before
après,after
pendant,during
depuis,since; for (duration)
vers,toward; around (time)
jusqu'à,until; up to
près de,near; close to
loin de,far from
à côté de,next to; beside
et,and
ou,or
mais,but
parce que,because
donc,so; therefore
si,if
comme,like; as
très,very
bien,well; good
mal,badly; bad
beaucoup,a lot; much
un peu,a little; a bit
trop,too much; too
assez,enough; quite
aussi,also; too
encore,again; still
déjà,already
toujours,always; still
souvent,often
parfois,sometimes
jamais,never
maintenant,now
aujourd'hui,today
hier,yesterday
demain,tomorrow
ici,here
là,there
là-bas,over there
vite,fast; quickly
lentement,slowly
ensemble,together
seulement,only
peut-être,maybe; perhaps
bientôt,soon
tard,late
tôt,early
vraiment,really; truly
ensuite,then; next
d'abord,first; at first
enfin,finally; at last
alors,so; then
voici,here is
voilà,there it is; there you go
tout,all; everything
tout de suite,right away; immediately
zéro,zero
un,one
deux,two
trois,three
quatre,four
cinq,five
six,six
sept,seven
huit,eight
neuf,nine
dix,ten
onze,eleven
douze,twelve
treize,thirteen
quatorze,fourteen
quinze,fifteen
seize,sixteen
dix-sept,seventeen
dix-huit,eighteen
dix-neuf,nineteen
vingt,twenty
trente,thirty
quarante,forty
cinquante,fifty
soixante,sixty
soixante-dix,seventy
quatre-vingts,eighty
quatre-vingt-dix,ninety
cent,hundred; one hundred
mille,thousand; one thousand
lundi,Monday
mardi,Tuesday
mercredi,Wednesday
jeudi,Thursday
vendredi,Friday
samedi,Saturday
dimanche,Sunday
janvier,January
février,February
mars,March
avril,April
mai,May
juin,June
juillet,July
août,August
septembre,September
octobre,October
novembre,November
décembre,December
printemps; le printemps,spring
été; l'été; un été,summer
automne; l'automne; un automne,autumn; fall
hiver; l'hiver; un hiver,winter
jour; le jour,day
semaine; la semaine,week
mois; le mois,month
année; l'année; une année,year
an; l'an; un an,year
heure; l'heure; une heure,hour; time (clock)
minute; la minute,minute
matin; le matin,morning
après-midi; l'après-midi; un après-midi,afternoon
soir; le soir,evening
nuit; la nuit,night
midi,noon; midday
minuit,midnight
week-end; le week-end,weekend
date; la date,date
moment; le moment,moment
temps; le temps,time; weather
fois; la fois,time (occasion)
anniversaire; l'anniversaire; un anniversaire,birthday
fête; la fête,party; celebration
vacances; les vacances,holidays; vacation
famille; la famille,family
parents; les parents,parents
père; le père,father
mère; la mère,mother
papa; le papa,dad
maman; la maman,mom; mum
frère; le frère,brother
sœur; la sœur,sister
fils; le fils,son
fille; la fille,daughter; girl
enfant; l'enfant; un enfant,child; kid
bébé; le bébé,baby
grand-père; le grand-père,grandfather
grand-mère; la grand-mère,grandmother
grands-parents; les grands-parents,grandparents
oncle; l'oncle; un oncle,uncle
tante; la tante,aunt
cousin; le cousin,cousin
mari; le mari,husband
femme; la femme,woman; wife
homme; l'homme; un homme,man
garçon; le garçon,boy
personne; la personne,person
gens; les gens,people
ami; l'ami; un ami,friend
copain; le copain,friend (informal); boyfriend
copine; la copine,friend (informal); girlfriend
voisin; le voisin,neighbor
nom; le nom,name; last name
prénom; le prénom,first name
âge; l'âge; un âge,age
repas; le repas,meal
petit-déjeuner; le petit-déjeuner,breakfast
déjeuner; le déjeuner,lunch
dîner; le dîner,dinner
pain; le pain,bread
croissant; le croissant,croissant
beurre; le beurre,butter
confiture; la confiture,jam
fromage; le fromage,cheese
œuf; l'œuf; un œuf,egg
lait; le lait,milk
eau; l'eau; une eau,water
café; le café,coffee; café
thé; le thé,tea
jus; le jus,juice
vin; le vin,wine
bière; la bière,beer
sucre; le sucre,sugar
sel; le sel,salt
viande; la viande,meat
poulet; le poulet,chicken
jambon; le jambon,ham
poisson; le poisson,fish
riz; le riz,rice
pâtes; les pâtes,pasta
soupe; la soupe,soup
salade; la salade,salad; lettuce
légume; le légume,vegetable
pomme de terre; la pomme de terre,potato
tomate; la tomate,tomato
carotte; la carotte,carrot
oignon; l'oignon; un oignon,onion
fruit; le fruit,fruit
pomme; la pomme,apple
banane; la banane,banana
orange; l'orange; une orange,orange
fraise; la fraise,strawberry
gâteau; le gâteau,cake
chocolat; le chocolat,chocolate
glace; la glace,ice cream; ice
sandwich; le sandwich,sandwich
frites; les frites,fries; chips
pizza; la pizza,pizza
menu; le menu,menu; set menu
carte; la carte,menu; card; map
addition; l'addition; une addition,bill; check (restaurant)
serveur; le serveur,waiter
restaurant; le restaurant,restaurant
cuisine; la cuisine,kitchen; cooking
verre; le verre,glass
