German,English
Bürger; der Bürger,citizen
Einwohner; der Einwohner,inhabitant
Ausländer; der Ausländer,foreigner
Flüchtling; der Flüchtling,refugee
Fremde; der Fremde,stranger
Verwandte; der Verwandte,relative
Generation; die Generation,generation
Jugend; die Jugend,youth
Kindheit; die Kindheit,childhood
Alter; das Alter,age; old age
Rentner; der Rentner,pensioner
Persönlichkeit; die Persönlichkeit,personality
Charakter; der Charakter,character
Verhalten; das Verhalten,behaviour
Gewohnheit; die Gewohnheit,habit
Eigenschaft; die Eigenschaft,characteristic
Fähigkeit; die Fähigkeit,ability
Talent; das Talent,talent
Stärke; die Stärke,strength
Schwäche; die Schwäche,weakness
Vorbild; das Vorbild,role model
Ruf; der Ruf,reputation; call
Vertrauen; das Vertrauen,trust
Respekt; der Respekt,respect
Rücksicht; die Rücksicht,consideration
Vorurteil; das Vorurteil,prejudice
Gerechtigkeit; die Gerechtigkeit,justice
Verantwortung; die Verantwortung,responsibility
Pflicht; die Pflicht,duty
Recht; das Recht,right; law
Gemeinschaft; die Gemeinschaft,community
Öffentlichkeit; die Öffentlichkeit,the public
Zusammenarbeit; die Zusammenarbeit,cooperation
Publikum; das Publikum,audience
Zuschauer; der Zuschauer,spectator
Teilnehmer; der Teilnehmer,participant
Organisation; die Organisation,organization
Behörde; die Behörde,authority; agency
Amt; das Amt,office; agency
Verwaltung; die Verwaltung,administration
Vorschrift; die Vorschrift,regulation
Verbot; das Verbot,ban
Erlaubnis; die Erlaubnis,permission
Genehmigung; die Genehmigung,approval; permit
Antrag; der Antrag,application; request
Bestätigung; die Bestätigung,confirmation
Bescheinigung; die Bescheinigung,certificate
Unterschrift; die Unterschrift,signature
Gericht; das Gericht,court; dish
Richter; der Richter,judge
Urteil; das Urteil,verdict; judgement
Strafe; die Strafe,punishment; penalty
Gefängnis; das Gefängnis,prison
Verbrechen; das Verbrechen,crime
Verbrecher; der Verbrecher,criminal
Dieb; der Dieb,thief
Diebstahl; der Diebstahl,theft
Einbruch; der Einbruch,burglary
Betrug; der Betrug,fraud
Gewalt; die Gewalt,violence; force
Opfer; das Opfer,victim; sacrifice
Zeuge; der Zeuge,witness
Beweis; der Beweis,proof; evidence
Schuld; die Schuld,guilt; blame
Waffe; die Waffe,weapon
Sicherheit; die Sicherheit,safety; security
Gefahr; die Gefahr,danger
Risiko; das Risiko,risk
Notfall; der Notfall,emergency
Rettung; die Rettung,rescue
Visum; das Visum,visa
Aufenthalt; der Aufenthalt,stay; residence
Anmeldung; die Anmeldung,registration
Gebühr; die Gebühr,fee
Versicherung; die Versicherung,insurance
Rente; die Rente,pension
Einkommen; das Einkommen,income
Erfahrung; die Erfahrung,experience
Erlebnis; das Erlebnis,experience; adventure
Kenntnis; die Kenntnis,knowledge
Absicht; die Absicht,intention
Zweck; der Zweck,purpose
Vorschlag; der Vorschlag,suggestion
Bedingung; die Bedingung,condition
Voraussetzung; die Voraussetzung,prerequisite
Zusammenhang; der Zusammenhang,connection; context
Verhältnis; das Verhältnis,relationship; ratio
Vergleich; der Vergleich,comparison
Gegensatz; der Gegensatz,contrast; opposite
Widerspruch; der Widerspruch,contradiction
Streit; der Streit,argument; dispute
Konflikt; der Konflikt,conflict
Krise; die Krise,crisis
Schwierigkeit; die Schwierigkeit,difficulty
Herausforderung; die Herausforderung,challenge
Lösung; die Lösung,solution
Ergebnis; das Ergebnis,result
Wirkung; die Wirkung,effect
Einfluss; der Einfluss,influence
Nutzen; der Nutzen,benefit
Schaden; der Schaden,damage; harm
Verlust; der Verlust,loss
Gewinn; der Gewinn,profit; gain
Wert; der Wert,value
Ansicht; die Ansicht,view; opinion
Standpunkt; der Standpunkt,point of view
Argument; das Argument,argument
Aspekt; der Aspekt,aspect
Einstellung; die Einstellung,attitude; setting
Haltung; die Haltung,attitude; posture
Überzeugung; die Überzeugung,conviction
Zweifel; der Zweifel,doubt
Ausnahme; die Ausnahme,exception
Wachstum; das Wachstum,growth
Veränderung; die Veränderung,change
Wandel; der Wandel,change; transformation
Fortschritt; der Fortschritt,progress
Entwicklung; die Entwicklung,development
Vorstellung; die Vorstellung,idea; performance
Gedanke; der Gedanke,thought
Erinnerung; die Erinnerung,memory
Fantasie; die Fantasie,imagination
Verständnis; das Verständnis,understanding
Missverständnis; das Missverständnis,misunderstanding
Aufmerksamkeit; die Aufmerksamkeit,attention
Interesse; das Interesse,interest
Geduld; die Geduld,patience
Ordnung; die Ordnung,order
System; das System,system
Struktur; die Struktur,structure
Methode; die Methode,method
Prinzip; das Prinzip,principle
Grundlage; die Grundlage,basis
Mut; der Mut,courage
Furcht; die Furcht,fear
Panik; die Panik,panic
Aufregung; die Aufregung,excitement
Begeisterung; die Begeisterung,enthusiasm
