Japanese,Kana,English
踏む,ふむ,to step on; to tread on
～区,～く,~ district; ~ ward; ~ borough
すっと,すっと,straight; quickly
盗む,ぬすむ,to steal; to rob
大抵,たいてい,generally; usually
とうとう,とうとう,finally; at last
ガソリン,ガソリン,gasoline; petrol
鳴る,なる,to sound; to ring (v.i.)
しっかり,しっかり,firmly; steady
生きる,いきる,to live
苦い,にがい,bitter
沸く,わく,to boil; to grow hot
意見,いけん,opinion; view; idea
やはり; やっぱり,やはり; やっぱり,as I thought; absolutely
漫画,まんが,comic (book); cartoon
ステレオ,ステレオ,stereo
医学,いがく,medical science
テキスト,テキスト,text; text book
～月,～つき,month
折る,おる,to snap; to break; to bend
～会,～かい,~ meeting
うかがう,うかがう,to ask
聞こえる,きこえる,to be heard; to be audible
僕,ぼく,I (used by men towards those of equal or lower status)
必ず,かならず,surely; certainly
壊す,こわす,to break; to break down
怒る,おこる,to get angry; to scold angrily
床屋,とこや,barber's (shop)
オートバイ,オートバイ,motorcycle (lit: auto-bi(ke))
運動,うんどうする,exercise
止む,やむ,to cease; to stop
もし,もし,if
表,おもて,surface; front; outside
大学生,だいがくせい,college student; university student
運転手,うんてんしゅ,driver (by occupation)
予習,よしゅう,preparation of lessons (for class)
心配,しんぱいする,worry; concern
別,べつ,distinction; different
非常に,ひじょうに,extremely; very
お宅,おたく,(someone else's) house; home -- polite word for 家 (いえ) --
柔らかい,やわらかい,soft (in reference to texture); tender
拾う,ひろう,to pick up (something); to find
～ございます,～ございます,to be (polite); to exist
気,き,spirit; mood
比べる,くらべる,to compare
ほとんど,ほとんど,mostly; almost
つもり,つもり,intention; plan
郊外,こうがい,suburb; outskirts
だめ,だめ,useless; no good; hopeless
売り場,うりば,place where things are sold
正月,しょうがつ,New Year; New Year's Day
規則,きそく,rule; regulation
うん,うん,yes (informal); all right (ok)
発音,はつおん,pronunciation
焼く,やく,to bake; to grill
屋上,おくじょう,rooftop
失礼,しつれい,discourtesy; impoliteness; Excuse me
ごみ,ごみ,trash; garbage
アフリカ,アフリカ,Africa
点,てん,mark; score; grade; point; dot
一生懸命,いっしょうけんめい,very hard (as in 'to work hard'); with utmost effort
今度,こんど,now; this time; near future; one of these days; next time
機会,きかい,chance; opportunity
建てる,たてる,to build
複雑,ふくざつ,complexity; complication
彼,かれ,he; boyfriend
いらっしゃる,いらっしゃる,-- honorific expression for いく; くる; and いる --
布団,ふとん,futon
大事,だいじ,important; valuable; serious matter
贈り物,おくりもの,a gift; a present
泥棒,どろぼう,thief; burglar
～製,～せい,made in ~
注意,ちゅうい,caution; attention
台風,たいふう,typhoon
日,ひ,sun; sunshine; day
～軒,～けん,counter for houses
そう,そう,really; (is that) so; yes; right
通る,とおる,to pass (by); to go through
過ぎる,すぎる,to exceed; to go beyond
レポート; リポート,レポート; リポート,report
葉,は,leaf
必要,ひつよう,necessary
課長,かちょう,section manager
地震,じしん,earthquake
すると,すると,and; then
止める,やめる,to end; to stop
ガラス,ガラス,glass; pane
～学部,～がくぶ,department of a university
厳しい,きびしい,hard; rigorous; strict
エスカレーター,エスカレーター,escalator
人口,じんこう,population
月,つき,moon
絹,きぬ,silk
ちっとも,ちっとも,not at all (neg. verb)
深い,ふかい,deep; profound
壊れる,こわれる,to be broken; to break
揺れる,ゆれる,to shake; to sway
落ちる,おちる,to fall; to drop
できるだけ,できるだけ,if at all possible; as much as possible
悲しい,かなしい,sad; sorrowful
中学校,ちゅうがっこう,junior high school; middle school
ガス,ガス,gas
祈る,いのる,to pray; to wish
盛ん,さかん,prosperous; active; thriving
アルバイト,アルバイト,part-time job
起こす,おこす,to wake (someone) up
致す,いたす,-- extra-modest expression for する --
噛む,かむ,to bite; to chew
赤ちゃん,あかちゃん,baby; infant
浅い,あさい,shallow; superficial
嘘,うそ,lie
小説,しょうせつ,novel
親,おや,a parent
それに,それに,moreover; besides
西洋,せいよう,the West; Western countries
思う,おもう,to think; to feel
パート (タイム),パート (タイム),part time (esp. female part time employees)
時代,じだい,age; period; epoch; era
申し上げる,もうしあげる,(humble)to say; to tell
～式,～しき,~ ceremony; ~ style
出席,しゅっせきする,attendance
～家,～か,person who is specialized in ~
迎える,むかえる,to welcome; to meet; to greet
触る,さわる,to touch; to feel
建て,～だて,~ storied; separate housing
社長,しゃちょう,president of a company
動物園,どうぶつえん,zoo
捕まえる,つかまえる,to catch; to arrest
季節,きせつ,season (in reference to weather)
寄る,よる,to stop by
決まる,きまる,to be set; fixed (v.i.)
開く,ひらく,to open; to hold (an event)
逃げる,にげる,to escape; to run away
だから,だから,so; therefore
残念,ざんねん,regret; regrettable
畳,たたみ,tatami mat (Japanese straw mat)
丁寧,ていねい,polite; courteous; careful
地理,ちり,geography
さっき,さっき,a little while ago
怖い,こわい,scary; frightening
包む,つつむ,to wrap; to cover
なるべく,なるべく,if possible; as much as possible
無理,むり,unreasonable; impossible
サンドイッチ,サンドイッチ,sandwich
会議室,かいぎしつ,conference room
品物,しなもの,goods
人形,にんぎょう,doll; figure
利用,りよう,use; utilization
飾る,かざる,to decorate; to adorn
止める,とめる,to stop (something)
恥ずかしい,はずかしい,ashamed; embarrassed
いくら～ても,いくら～ても,however much one may ~
用事,ようじ,business to take care of; tasks; errands
ビル,ビル,(abbr.) building
けんかする,けんかする,quarrel
頑張る,がんばる,to try one's best; to try hard; to persist
投げる,なげる,to pitch; to cast away
故障,こしょうする,breakdown
力,ちから,strength; power
受ける,うける,to take (an examination interview etc.); to receive
気分,きぶん,feeling; mood
間違える,まちがえる,to make a mistake
そんな,そんな,such; like that; that sort of
星,ほし,star
場合,ばあい,case; situation
やっと,やっと,at last; finally
足りる,たりる,to be sufficient; to be enough
行う,おこなう,to carry out; to conduct (typically used in written language)
ぶどう,ぶどう,grapes
無くなる,なくなる,to disappear; to get lost
準備,じゅんびする,prepare
世界,せかい,world
住所,じゅうしょ,address; place of residence
再来月,さらいげつ,the month after next
林,はやし,woods; forest
倍,ばい,double
痩せる,やせる,to lose weight
線,せん,line; wire
戦争,せんそう,war
決める,きめる,to decide (v.t.)
調べる,しらべる,to check; to look up; to inquire; to search
寝坊,ねぼう,sleeping in late
パパ,パパ,papa; daddy
光る,ひかる,to shine; to glitter
夫,おっと,husband
雲,くも,cloud
坂,さか,slope; hill
～(て) しまう,～(て) しまう,to end up ~
飛行場,ひこうじょう,airport
柔道,じゅうどう,judo
決して,けっして,never
事務所,じむしょ,office
連絡,れんらく,communication; contact; connection
小学校,しょうがっこう,elementary school
客,きゃく,guest; customer
昔,むかし,old days; past
美しい,うつくしい,beautiful; lovely
捨てる,すてる,throw away (trash); dump; discard
なさる,なさる,-- honorific expression for する --
事,こと,thing(s); matter(s); fact
どんどん,どんどん,quickly and steadily; at a rapid pace
試合,しあい,match; game; competition
適当,てきとう,fitness; suitability
素晴らしい,すばらしい,wonderful; terrific
美術館,びじゅつかん,art gallery; art museum
文法,ぶんぽう,grammar
終わり,おわり,end
壁,かべ,wall
一度,いちど,once; one time
お礼,おれい,expression of gratitude; thanking; gift of appreciation; bow
親切,しんせつ,kindness
知らせる,しらせる,to notify
歯医者,はいしゃ,dentist
熱心,ねっしん,enthusiasm
始める,はじめる,to start; to begin
もらう,もらう,to receive
泣く,なく,to cry
治る,なおる,to get better; to recover from illness (v.i.)
熱,ねつ,fever; temperature
お祭り,おまつり,festival
水道,すいどう,water service; water line
匂い,におい,odor; smell
ベル,ベル,bell
赤ん坊,あかんぼう,baby
おかしい,おかしい,strange; odd; funny
事故,じこ,accident
変,へん,strange; odd
辞典,じてん,dictionary; reference book
残る,のこる,to remain (v.i.); to be left
立てる,たてる,to stand (something) up; to erect (something)
くれる,くれる,to give; to do for
～員,～いん,member of ~
