Spanish,English
por lo tanto,therefore
así que,so; therefore
mientras tanto,meanwhile
pronto,soon
despacio,slowly
deprisa,quickly; in a hurry
desgraciadamente,unfortunately
hacia,toward
contra,against
mediante,by means of
excepto,except
a pesar de,in spite of; despite
gracias a,thanks to
debido a,due to
en lugar de,instead of
además de,in addition to
alrededor de,around
a través de,through; across
junto a,next to; beside
respecto a,regarding; with regard to
en cuanto a,as for; regarding
en vez de,instead of; rather than
pensamiento; el pensamiento,thought
significado; el significado,meaning
verdad; la verdad,truth
mentira; la mentira,lie
secreto; el secreto,secret
consejo; el consejo,advice; piece of advice
asunto; el asunto,matter; affair; issue
cuestión; la cuestión,question; matter; issue
detalle; el detalle,detail
información; la información,information
dato; el dato,piece of data; fact
aviso; el aviso,notice; warning
explicación; la explicación,explanation
resumen; el resumen,summary
conversación; la conversación,conversation
discusión; la discusión,argument; discussion
acuerdo; el acuerdo,agreement
decisión; la decisión,decision
propuesta; la propuesta,proposal
solución; la solución,solution
conclusión; la conclusión,conclusion
objetivo; el objetivo,objective; goal
meta; la meta,goal; finish line
plan; el plan,plan
propósito; el propósito,purpose; intention
temor; el temor,fear; dread
orgullo; el orgullo,pride
envidia; la envidia,envy
odio; el odio,hatred
cariño; el cariño,affection; fondness
deseo; el deseo,wish; desire
esperanza; la esperanza,hope
ilusión; la ilusión,excitement; hope
humor; el humor,mood; humor
soledad; la soledad,loneliness; solitude
confianza; la confianza,trust; confidence
paciencia; la paciencia,patience
carácter; el carácter,character; personality
personalidad; la personalidad,personality
actitud; la actitud,attitude
comportamiento; el comportamiento,behavior
costumbre; la costumbre,habit; custom
decepcionado,disappointed
agradecido,grateful; thankful
harto,fed up; sick of
molesto,annoyed; bothered
confiado,confident; trusting
cariñoso,affectionate; loving
capaz,capable; able
testarudo,stubborn
atrevido,daring; bold
exigente,demanding
amistoso,friendly
optimista,optimistic
pesimista,pessimistic
posible,possible
imposible,impossible
necesario,necessary
útil,useful
común,common
raro,strange; rare
extraño,strange; odd
oscuro,dark
duro,hard; tough
suave,soft; smooth; gentle
dulce,sweet
peligroso,dangerous
cómodo,comfortable
correcto,correct; right
perfecto,perfect
increíble,incredible; unbelievable
grave,serious; grave
amplio,spacious; wide
privado,private
lleno,full
vacío,empty
ligero,light (weight)
pesado,heavy; annoying
profundo,deep
empleo; el empleo,employment; job
puesto; el puesto,position; post; stall
salario; el salario,salary; wage
jornada; la jornada,working day
responsabilidad; la responsabilidad,responsibility
experiencia; la experiencia,experience
formación; la formación,training; education
beca; la beca,scholarship; grant
servicio; el servicio,service
beneficio; el beneficio,profit; benefit
ingreso; el ingreso,income; entry
deuda; la deuda,debt
impuesto; el impuesto,tax
economía; la economía,economy
presupuesto; el presupuesto,budget
comercio; el comercio,trade; commerce
industria; la industria,industry
desempleo; el desempleo,unemployment
huelga; la huelga,strike
obrero; el obrero,laborer; worker
peluquero; el peluquero,hairdresser
investigación; la investigación,research
teoría; la teoría,theory
esfuerzo; el esfuerzo,effort
éxito; el éxito,success
fracaso; el fracaso,failure
progreso; el progreso,progress
grado; el grado,degree; grade
norma; la norma,rule; norm
sistema; el sistema,system
método; el método,method
proceso; el proceso,process
actividad; la actividad,activity
acontecimiento; el acontecimiento,event
imagen; la imagen,image; picture
sonido; el sonido,sound
enlace; el enlace,link
correo electrónico; el correo electrónico,email
dispositivo; el dispositivo,device
publicidad; la publicidad,advertising
artículo; el artículo,article
reportaje; el reportaje,report; feature
medios; los medios,media; means
gobierno; el gobierno,government
política; la política,politics; policy
rey; el rey,king
reina; la reina,queen
nación; la nación,nation
ley; la ley,law
derecho; el derecho,right; law
justicia; la justicia,justice
juez; el juez,judge
delito; el delito,crime; offense
ladrón; el ladrón,thief
cárcel; la cárcel,jail; prison
guerra; la guerra,war
paz; la paz,peace
ejército; el ejército,army
arma; el arma,weapon
libertad; la libertad,freedom
igualdad; la igualdad,equality
voto; el voto,vote
manifestación; la manifestación,protest; demonstration
organización; la organización,organization
comunidad; la comunidad,community
medio ambiente; el medio ambiente,environment
contaminación; la contaminación,pollution
clima; el clima,climate
temperatura; la temperatura,temperature
energía; la energía,energy
electricidad; la electricidad,electricity
combustible; el combustible,fuel
reciclaje; el reciclaje,recycling
recurso; el recurso,resource
desarrollo; el desarrollo,development
crecimiento; el crecimiento,growth
selva; la selva,jungle; rainforest
desierto; el desierto,desert
costa; la costa,coast
lago; el lago,lake
valle; el valle,valley
piedra; la piedra,stone
hoja; la hoja,leaf; sheet
rama; la rama,branch
semilla; la semilla,seed
especie; la especie,species
insecto; el insecto,insect
abeja; la abeja,bee
serpiente; la serpiente,snake
león; el león,lion
oso; el oso,bear
lobo; el lobo,wolf
músculo; el músculo,muscle
operación; la operación,operation; surgery
vacuna; la vacuna,vaccine
dieta; la dieta,diet
peso; el peso,weight
urgencia; la urgencia,emergency
estante; el estante,shelf
bombilla; la bombilla,light bulb
martillo; el martillo,hammer
escoba; la escoba,broom
olla; la olla,pot; saucepan
sartén; la sartén,frying pan
bandeja; la bandeja,tray
trozo; el trozo,piece; chunk
ración; la ración,portion; serving
viajero; el viajero,traveler
alojamiento; el alojamiento,accommodation; lodging
recepción; la recepción,reception; front desk
embajada; la embajada,embassy
folleto; el folleto,brochure; leaflet
paisaje; el paisaje,landscape; scenery
autopista; la autopista,motorway; freeway
rebaja; la rebaja,sale; reduction
ganga; la ganga,bargain
escaparate; el escaparate,shop window
tela; la tela,fabric; cloth
algodón; el algodón,cotton
lana; la lana,wool
cuero; el cuero,leather
época; la época,era; period
plazo; el plazo,deadline; term
infancia; la infancia,childhood
juventud; la juventud,youth
vejez; la vejez,old age
jubilación; la jubilación,retirement
cultura; la cultura,culture
pintura; la pintura,painting; paint
obra; la obra,work; play; construction site
novela; la novela,novel
cuento; el cuento,story; tale
autor; el autor,author
personaje; el personaje,character (fiction)
concierto; el concierto,concert
instrumento; el instrumento,instrument
baile; el baile,dance
afición; la afición,hobby; interest
espectáculo; el espectáculo,show; spectacle
exposición; la exposición,exhibition
jugador; el jugador,player
partido; el partido,match; game; party (political)
campeón; el campeón,champion
campeonato; el campeonato,championship
entrenador; el entrenador,coach; trainer
aficionado; el aficionado,fan; supporter
premio; el premio,prize; award
concurso; el concurso,contest; quiz
juguete; el juguete,toy
